baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ILMN_1762337,888.049321856127,0.178411557504532,0.212262779633379,0.840522101014057,0.400615715140731,0.998622270940556
ILMN_2055271,125.054606589739,0.0149602246374744,0.07164643146767,0.208806277312291,0.8345994707672,0.998622270940556
ILMN_2383229,51.1841419352621,-0.0574133014999762,0.109669905820695,-0.523510083010775,0.60061933616229,0.998622270940556
ILMN_1806310,70.7211354814222,-0.174008643551233,0.14166424854488,-1.22831727368466,0.219327889043161,0.975322924098192
ILMN_1779670,63.4215976485237,0.290283219294388,0.106587034715231,2.72343836255448,0.00646062699049251,0.312795590054458
ILMN_1717783,280.431412309371,-0.195014845763061,0.295393796397088,-0.660185989488111,0.509134482079398,0.998622270940556
ILMN_1814316,590.410240960606,-0.100177898170948,0.315340326538503,-0.317681849545229,0.750726280502495,0.998622270940556
ILMN_2359168,756.878085396448,-0.164786512569877,0.331760544557287,-0.496703165199388,0.619398390056082,0.998622270940556
ILMN_1731507,69.0769692681076,-0.401529985652264,0.149708920619119,-2.68207120852748,0.00731678835050335,0.328991590406617
ILMN_1787689,76.4003189863122,-0.00340485599532977,0.0803260149343422,-0.0423879610872377,0.96618942538535,0.99956622546356
ILMN_3241953,312.61015911021,-0.176717525077021,0.202139308620658,-0.874236318917345,0.381989571038706,0.998622270940556
ILMN_1745607,8250.66984732487,0.0334402792848838,0.0967254316160778,0.345723753579254,0.729550331049376,0.998622270940556
ILMN_2136495,208.399620568205,0.196326166119436,0.300505450821264,0.653319816938056,0.513550119360404,0.998622270940556
ILMN_1668111,49.3850343681147,0.00118291339235198,0.105645593634073,0.0111969969750869,0.991066275660863,0.99956622546356
ILMN_2295559,53.8694071209549,0.0440129667125324,0.0658849304138142,0.668027824209466,0.504115831689877,0.998622270940556
ILMN_1735045,2006.0855514381,-0.0605007744810382,0.20395124475976,-0.296643320575483,0.766738833671936,0.998622270940556
ILMN_1680754,78.4125422351993,0.0307387385530935,0.0570963576550882,0.538366015198067,0.590324383964605,0.998622270940556
ILMN_2375184,65.4469215315957,0.304659264476156,0.134811244786916,2.25989504775883,0.0238277653513147,0.557759571892885
ILMN_1659452,91.1184017194513,0.21323067453876,0.108476438889941,1.9656865280681,0.0493348319572146,0.719974842725829
