baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ILMN_1762337,891.598112968113,0.0109099011097961,0.29651330683572,0.0367939679544992,0.970649283668577,0.995586569839065
ILMN_2055271,132.12726195651,0.0605869641717618,0.112361183013987,0.539216146951923,0.58973772008219,0.923570678981409
ILMN_2383229,69.1344901402321,-0.227660064210545,0.264631259591427,-0.860291654742669,0.389628291928819,0.869525494330725
ILMN_1806310,79.4237572583633,0.111554656681246,0.227285984143622,0.49081186022784,0.623559520769112,0.932022991480092
ILMN_1779670,71.9390685178679,0.111395236255305,0.204500132673513,0.544719628290655,0.585946363004096,0.922802757436525
ILMN_1717783,216.538081726299,-0.31821386297233,0.319704156415395,-0.995338523403093,0.319571647452786,0.846211219897886
ILMN_1814316,414.675287958055,-0.640924872610288,0.413597727172456,-1.54963344937107,0.121229519748962,0.711100918745556
ILMN_2359168,504.268206355238,-0.679153850901519,0.43365894481563,-1.56610133152047,0.117324896437673,0.705367415778891
ILMN_1731507,64.2739133577575,-0.53568912733043,0.175192164594576,-3.05772309264005,0.00223025561047764,0.163895340232218
ILMN_1787689,74.3225668837637,0.143580420026163,0.0819557236421821,1.7519266946264,0.0797864136907232,0.646228668975613
ILMN_3241953,320.722723766725,-0.0156574957247881,0.250130773978401,-0.0625972385394695,0.950087228433138,0.992305193906647
ILMN_1745607,8887.90228680765,0.0457881461049271,0.118577795869723,0.386144351639263,0.699389764397698,0.951579253956433
ILMN_2136495,322.442164421284,0.247384106427734,0.466264085026697,0.530566505918141,0.595719211138852,0.926114178425744
ILMN_2295559,52.5832151943742,-0.0165576201098631,0.101664646368492,-0.162865073565972,0.870624670862528,0.979944678239411
ILMN_1735045,1852.97300879862,0.213833526604284,0.258807952531745,0.826224714165443,0.408676631238768,0.874095705590143
ILMN_1680754,80.6312573992691,0.0731471593123475,0.082054681788032,0.89144406776575,0.372690985285999,0.864101174293387
ILMN_2375184,64.8918062460079,-0.55567882358149,0.180732877451747,-3.07458627017017,0.00210794747000969,0.159799059917287
ILMN_1659452,93.6175269800899,-0.450567141587309,0.158873504724145,-2.83601184709583,0.00456807514713385,0.235407049666341
