baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ILMN_1762337,938.017025635045,0.0210810454984853,0.236416529594135,0.089169084474237,0.928947534495325,0.985346716711638
ILMN_2055271,130.684320882577,0.0108605045229319,0.101426641424056,0.107077434197244,0.914727549129367,0.98306022355125
ILMN_2383229,47.9428734624675,-0.419719382408114,0.120553308818291,-3.48160814931056,0.000498412467211743,0.0486440632866424
ILMN_1806310,59.5599811763969,-0.142031984988355,0.107001146351283,-1.32738750781292,0.18438052989987,0.655665902045255
ILMN_1779670,65.5723318721303,-0.313169542078657,0.148489878932916,-2.10902954685646,0.0349420313243731,0.384954023301027
ILMN_1717783,251.654837529683,0.608486135700108,0.289756740808115,2.0999895774748,0.0357297579759416,0.389032666409842
ILMN_1814316,801.327631938554,-0.965923423859968,0.377876298713772,-2.5561894915024,0.0105825472470066,0.234013031534324
ILMN_2359168,1089.66840641919,-1.01396653541794,0.402529788523859,-2.51898508961614,0.0117693640493616,0.249098420517359
ILMN_1731507,95.3566271809811,-0.469417799317897,0.246231651252139,-1.90640722640981,0.0565973918880774,0.459735479623
ILMN_1787689,72.7683652248143,-0.0729836554328929,0.0631920873625531,-1.15494927417356,0.248111199603023,0.718168124558647
ILMN_3241953,323.010985237051,0.188368253149838,0.214290985460068,0.87903022493188,0.379384887957413,0.806461968340481
ILMN_1745607,8588.28850496031,0.116083820709614,0.111816272547963,1.03816571653129,0.299192910660742,0.757653779350912
ILMN_2136495,271.058823671347,0.101630361167259,0.347120734644164,0.292781015433839,0.769689540194892,0.94961024830143
ILMN_1668111,47.231563535789,0.199897498808869,0.123639004095232,1.61678347598868,0.105925027468721,0.560204432818892
ILMN_2295559,58.2470306093673,-0.476179876365058,0.11781664311469,-4.04170296977072,5.30644220999485e-05,0.0130997775464722
ILMN_1735045,2006.10385029566,0.287576877076667,0.223495469135107,1.28672352146353,0.198190671660543,0.669306790478208
ILMN_1680754,77.2352783530208,-0.0804808176266341,0.0646978136802799,-1.24394957184102,0.213518123170532,0.684847898720463
ILMN_2375184,60.6922491218181,-0.299753467457483,0.13970942334635,-2.14554938584473,0.0319089472693516,0.37067807442783
ILMN_1659452,85.2375633449777,-0.225360464046978,0.114382974986253,-1.97022733561584,0.0488123220097545,0.435192589887878
ILMN_1767388,63.7875110275548,0.0583135844823763,0.133716696508256,0.436098004251667,0.662765625104998,0.920655026287819
ILMN_1675204,45.8591340752325,-0.0349700950651814,0.136325122519761,-0.25651981394781,0.797549482836911,0.957134685752541
ILMN_1673870,68.5603574369804,-0.673639482863331,0.162375703562562,-4.14864704560793,3.34445992798538e-05,0.0096646202346713
ILMN_1755321,3603.94005135049,-0.0809174616352217,0.144466171836756,-0.560113558810548,0.575401982652845,0.89526953256674
ILMN_1698554,1607.46048492907,-0.0169667278464729,0.14063878283055,-0.120640462786964,0.903975818216703,0.981595978847937
ILMN_1760414,121.480708925866,-0.144432369521523,0.252879963405942,-0.571149914671846,0.567898025764396,0.893322090759959
ILMN_2061446,213.274668090398,0.272170092780166,0.134629712998415,2.02161979490642,0.0432156454685013,0.417162152037377
ILMN_1676336,986.629842241287,0.0289554863886375,0.20755792091543,0.139505571557712,0.88905065352665,0.978628636415332
ILMN_1752884,60.5040374557572,-0.135668255455748,0.150842489931148,-0.899403447381925,0.368437803618638,0.800173021719846
ILMN_1668851,52.1074999311554,-0.227879971084332,0.0990258280172194,-2.30121752725669,0.0213793386689839,0.314817459688592
ILMN_2270015,270.386418247076,0.501389410941885,0.255772594426117,1.96029372133032,0.0499614694731952,0.439156744900915
ILMN_1809959,52.2599442915676,-0.0842180051251449,0.129499092802565,-0.6503366417674,0.515474793433251,0.870340067645848
ILMN_2357031,276.911252365634,0.233586964455292,0.205743062601729,1.13533336921043,0.256235665825801,0.724558201459674
ILMN_3237396,9491.09130178238,-0.046862889632218,0.105636630661026,-0.443623479270131,0.657314827529178,0.919385749681477
ILMN_1688755,2815.11250938559,-0.0626138953916072,0.144219469581593,-0.434157021747906,0.664174420252717,0.920655026287819
ILMN_1689211,862.038151512225,0.148863693014129,0.211370364630678,0.704278924220219,0.481259088735022,0.858408503326156
ILMN_1653165,768.151265659463,0.112869163682762,0.113956407300657,0.990459126927136,0.321949757641864,0.772642597030067
ILMN_1729835,40.3672288124405,-0.138860674489123,0.0846299488711647,-1.64079827934808,0.100839295576299,0.549806233508712
ILMN_1662364,19149.3945578841,-0.0061517397591619,0.080538567340259,-0.0763825327705676,0.939114765834202,0.987818799396241
ILMN_1674698,4536.00583279809,-0.0387822047072701,0.0796885641858251,-0.486672148049175,0.626490685883425,0.910832876580264
ILMN_1700461,2929.94013298186,0.290209890824797,0.177297624184979,1.63685154924588,0.101661491637937,0.551432243121846
ILMN_1784269,2547.05025286936,-0.00233531175876833,0.136265923147297,-0.0171378999593608,0.986326603551228,0.997354544093485
ILMN_2096191,286.828914460872,0.192477655880293,0.157543592109346,1.22174220673285,0.22180512988703,0.693560339507119
ILMN_1678323,1526.68007513361,0.218578790194467,0.251968714538217,0.867483848520864,0.385676957637175,0.80919573206849
ILMN_2157219,79.5720294173873,0.0222513852590774,0.0737122975762607,0.301868019187121,0.762752676117172,0.948541056017194
ILMN_1703743,11341.8717947066,0.22457464710368,0.123845559016854,1.81334436928108,0.069778723995525,0.489233788739031
ILMN_1687609,188.489147333504,0.421509802270569,0.227089155895189,1.85614236227605,0.0634332689607245,0.47728861150842
ILMN_2068874,140.916534552284,0.200075551689122,0.250720727395083,0.798001640182886,0.42486953829856,0.830284112967428
ILMN_1670117,57.4269097766589,-0.0911383744184765,0.101755610715759,-0.895659450888261,0.370434673319354,0.801603427462121
ILMN_1805104,444.360721639937,-0.264362674547218,0.273401311553039,-0.966940037871517,0.33357400994066,0.779028832977722
